flightTime,flightMode,stateShiranui3,stateBuzzer,pressure,temperature,altitude,descentCount,accelerationX,accelerationY,accelerationZ,gyroX,gyroY,gyroZ,yaw,pitch,roll,voltage33,voltage5,voltage12
0.42,1,0,0,102103.22,20.50,10.43,0,-0.33,-0.88,7.97,-3.48,17.38,2.62,97.79,-3.67,19.04,3.30,4.87,12.15
0.44,1,0,0,102098.88,20.51,10.79,0,-0.59,-0.14,8.35,8.54,-6.71,5.73,97.83,-3.71,19.02,3.30,4.87,12.17
0.47,1,0,0,102092.85,20.50,11.28,0,-0.22,0.06,8.04,4.27,-4.82,3.78,97.85,-3.74,18.96,3.30,4.86,12.18
0.49,1,0,0,102071.24,20.50,13.07,0,-0.34,0.12,8.51,6.16,-1.04,9.39,97.95,-3.75,18.91,3.30,4.86,12.18
0.51,1,0,0,102075.55,20.49,12.71,0,-0.26,-0.01,8.19,3.29,-3.66,3.11,97.97,-3.76,18.84,3.30,4.87,12.18
0.53,1,0,0,102061.76,20.50,13.85,0,-0.42,0.06,8.72,9.02,-5.91,8.23,98.04,-3.81,18.82,3.30,4.86,12.18
0.55,1,0,0,102055.70,20.50,14.35,0,-0.33,0.01,8.28,3.78,-5.30,6.22,98.08,-3.85,18.75,3.30,4.87,12.18
0.57,1,0,0,102060.02,20.51,14.00,0,-0.34,0.05,7.61,5.37,-4.02,9.51,98.17,-3.88,18.70,3.30,4.87,12.18
0.59,1,0,0,102048.80,20.50,14.92,0,-0.39,-0.01,8.46,4.33,-8.29,8.78,98.23,-3.95,18.64,3.30,4.86,12.13
0.61,1,0,0,102040.16,20.51,15.64,0,-0.35,0.06,8.00,7.01,-7.32,12.38,98.33,-4.03,18.60,3.30,4.87,12.17
0.63,1,0,0,102039.28,20.51,15.71,0,-0.36,0.13,7.89,3.72,-8.54,11.16,98.42,-4.10,18.53,3.30,4.87,12.05
0.65,1,0,0,102030.66,20.50,16.42,0,-0.29,-0.08,8.61,4.94,-7.38,12.56,98.52,-4.18,18.47,3.30,4.87,12.18
0.68,1,0,0,102016.83,20.50,17.57,0,-0.44,0.08,7.51,3.78,-9.33,14.15,98.64,-4.27,18.39,3.30,4.87,12.18
0.70,1,0,0,101992.64,20.51,18.92,0,-0.48,-0.01,7.96,4.21,-8.84,16.52,98.77,-4.37,18.33,3.30,4.87,12.17
0.72,1,0,0,101997.81,20.49,19.14,0,-0.35,-0.00,7.77,2.38,-10.61,17.20,98.91,-4.48,18.24,3.30,4.86,12.18
0.75,1,0,0,101989.20,20.50,19.42,0,-0.43,0.10,7.66,5.55,-11.65,19.82,99.07,-4.61,18.18,3.30,4.87,12.15
0.77,1,0,0,101978.84,20.50,20.71,0,-0.40,0.04,8.82,1.95,-9.27,19.15,99.23,-4.72,18.09,3.30,4.85,12.17
0.79,1,0,0,101981.43,20.50,22.21,0,-0.25,0.17,7.93,5.30,-11.59,22.32,99.42,-4.86,18.02,3.30,4.87,12.17
0.81,1,0,0,101968.48,20.50,21.56,0,-0.33,0.05,7.67,4.57,-12.44,24.39,99.62,-5.01,17.95,3.30,4.87,12.17
0.83,1,0,0,101942.56,20.50,22.85,0,-0.25,-0.20,6.40,8.11,-15.43,23.17,99.80,-5.20,17.91,3.30,4.86,12.17
0.85,1,0,0,101938.22,20.49,24.06,0,-0.58,-0.06,5.17,-2.80,-10.55,21.22,99.98,-5.30,17.78,3.30,4.87,12.17
0.87,1,0,0,101930.45,20.49,24.71,0,-0.36,-0.19,9.37,-0.61,-9.63,19.63,100.15,-5.42,17.65,3.30,4.86,12.18
0.89,1,0,0,101911.47,20.50,26.28,0,-0.51,0.13,10.35,2.56,-8.17,23.23,100.36,-5.52,17.56,3.30,4.87,12.18
0.91,1,0,0,101912.31,20.49,26.21,0,-0.60,0.18,5.31,0.91,-5.12,30.73,100.65,-5.59,17.45,3.30,4.86,12.18
0.93,1,0,0,101884.67,20.48,28.49,0,-0.51,-0.36,6.22,-9.15,-8.78,23.17,100.85,-5.70,17.25,3.30,4.87,12.23
0.95,1,0,0,101881.22,20.49,28.78,0,-0.19,0.06,8.61,6.95,-12.13,21.22,101.03,-5.83,17.20,3.30,4.87,12.17
0.98,1,0,0,101856.19,20.50,30.85,0,-0.40,-0.04,7.13,-4.27,-4.21,26.52,101.28,-5.90,17.03,3.30,4.87,12.18
1.00,1,0,0,101845.81,20.48,31.71,0,-0.51,-0.12,6.19,-9.02,-2.68,28.72,101.56,-5.96,16.82,3.29,4.86,12.17
1.02,1,0,0,101831.98,20.49,32.85,0,-0.29,0.11,7.11,-2.13,-4.27,24.82,101.80,-6.02,16.67,3.30,4.87,12.18
1.04,1,0,0,101811.25,20.48,34.57,0,-0.56,0.36,7.33,-5.61,-4.09,30.00,102.08,-6.08,16.50,3.30,4.87,12.17
1.06,1,0,0,101800.06,20.50,35.50,0,-0.47,0.06,6.99,0.37,-4.88,29.63,102.36,-6.15,16.38,3.30,4.87,12.17
1.08,1,0,0,101788.82,20.50,36.43,0,-0.29,0.04,6.16,-4.39,-0.91,28.84,102.65,-6.19,16.21,3.30,4.86,12.13
1.10,1,0,0,101764.63,20.49,38.43,0,-0.38,0.08,6.33,0.18,-1.46,27.38,102.92,-6.22,16.09,3.30,4.86,12.13
1.12,1,0,0,101759.44,20.49,38.86,0,-0.35,0.17,6.53,4.15,-2.13,31.77,103.23,-6.27,16.01,3.29,4.86,12.12
1.14,1,0,0,101731.81,20.48,41.15,0,-0.39,0.10,5.88,1.04,0.73,33.17,103.57,-6.30,15.89,3.30,4.86,12.15
1.16,1,0,0,101728.35,20.49,41.43,0,-0.42,-0.01,6.59,1.16,-0.18,31.89,103.88,-6.33,15.77,3.30,4.86,12.15
1.19,1,0,0,101710.22,20.49,42.94,0,-0.45,0.09,6.47,4.39,2.74,34.63,104.24,-6.33,15.69,3.30,4.86,12.15
1.21,1,0,1,101677.41,20.48,45.66,0,-0.41,-0.05,5.58,2.20,2.99,35.43,104.60,-6.34,15.58,3.30,4.86,12.02
1.23,1,0,1,101680.00,20.48,46.30,0,-0.32,-0.03,5.85,3.90,3.54,36.04,104.97,-6.35,15.48,3.30,4.87,12.04
1.25,1,0,1,101661.86,20.48,46.94,0,-0.41,-0.07,5.96,4.57,3.90,36.34,105.34,-6.35,15.39,3.29,4.86,12.04
1.28,1,0,1,101642.85,20.48,48.52,0,-0.38,0.04,5.36,3.54,4.33,38.48,105.74,-6.35,15.29,3.30,4.86,12.08
1.30,1,0,1,101640.27,20.49,48.73,0,-0.30,-0.00,5.63,3.41,4.21,38.48,106.13,-6.35,15.19,3.30,4.87,12.17
1.32,1,0,1,101623.00,20.48,50.16,0,-0.35,0.13,5.36,3.96,3.96,39.57,106.54,-6.35,15.10,3.30,4.87,12.18
1.34,1,0,1,101593.63,20.49,52.60,0,-0.24,0.12,5.63,4.33,5.37,43.84,106.99,-6.35,15.00,3.30,4.87,12.20
1.36,1,0,1,101581.55,20.48,53.60,0,-0.30,-0.01,4.98,2.93,4.33,44.94,107.45,-6.37,14.88,3.30,4.87,12.17
1.38,1,0,1,101566.00,20.48,54.89,0,-0.20,-0.04,5.80,5.06,5.55,43.60,107.89,-6.37,14.79,3.30,4.86,12.18
1.40,1,0,1,101567.72,20.49,54.96,0,-0.16,-0.07,5.11,3.78,4.27,44.33,108.35,-6.40,14.68,3.30,4.86,12.18
1.42,1,0,0,101559.95,20.49,55.39,0,-0.26,-0.13,5.59,4.02,2.87,42.13,108.78,-6.42,14.57,3.30,4.87,12.18
1.45,1,0,0,101546.99,20.49,57.33,0,-0.14,0.12,5.01,3.29,2.26,48.05,109.26,-6.46,14.46,3.30,4.86,12.18
1.47,1,0,0,101523.67,20.49,58.40,0,-0.22,-0.01,4.83,1.65,2.50,49.63,109.76,-6.50,14.32,3.30,4.87,12.18
1.49,1,0,0,101509.00,20.48,59.62,0,-0.22,0.02,4.54,1.65,-1.95,50.73,110.26,-6.59,14.19,3.30,4.87,12.18
1.51,1,0,0,101498.64,20.48,60.48,0,-0.11,-0.05,2.50,-0.06,-0.18,52.13,110.78,-6.66,14.04,3.30,4.87,12.18
1.53,1,0,0,101490.88,20.48,61.34,0,0.02,-0.04,2.08,0.67,-4.76,51.83,111.29,-6.79,13.88,3.30,4.87,12.18
1.55,1,0,0,101448.55,20.49,64.64,0,-0.15,0.08,1.70,0.24,-0.18,53.23,111.82,-6.84,13.74,3.30,4.87,12.17
1.57,1,0,0,101451.14,20.48,64.42,0,-0.08,0.02,1.57,-1.59,-2.80,54.70,112.36,-6.93,13.58,3.30,4.87,12.13
1.59,1,0,0,101417.45,20.49,67.22,0,-0.05,-0.03,1.52,-1.52,-5.37,55.73,112.90,-7.06,13.40,3.30,4.86,12.18
1.61,1,0,0,101394.14,20.48,69.16,0,-0.15,0.25,1.21,-1.89,-2.50,60.91,113.50,-7.11,13.29,3.30,4.86,12.18
1.63,1,0,0,101365.64,20.49,71.52,0,0.08,0.03,1.15,-1.10,-4.51,58.90,114.08,-7.26,13.10,3.30,4.86,12.18
1.65,1,0,0,101344.92,20.49,73.24,0,-0.14,0.10,1.10,-2.56,-4.63,56.16,114.62,-7.33,12.96,3.30,4.87,12.18
1.67,1,0,0,101323.34,20.50,75.04,0,-0.06,0.12,0.98,-2.68,-3.05,58.54,115.20,-7.39,12.80,3.30,4.86,12.18
1.70,1,0,0,101281.03,20.48,78.55,0,-0.05,-0.00,0.74,-1.16,-3.72,58.60,115.78,-7.49,12.63,3.30,4.87,12.04
1.72,1,0,0,101277.56,20.48,78.84,0,-0.06,0.06,0.61,-1.52,-2.68,60.06,116.37,-7.55,12.48,3.30,4.87,12.07
1.75,1,0,0,101247.35,20.48,81.35,0,-0.15,0.02,0.53,-0.30,-2.01,58.60,116.95,-7.59,12.36,3.30,4.86,12.05
1.77,1,0,0,101229.22,20.48,82.86,0,0.03,0.02,0.43,-0.30,-3.41,60.24,117.55,-7.71,12.17,3.30,4.87,12.04
1.79,1,0,0,101215.39,20.49,84.01,0,-0.05,0.04,0.24,-2.44,-2.07,60.24,118.14,-7.75,12.06,3.30,4.87,12.02
1.81,1,0,0,101180.88,20.48,86.88,0,-0.04,0.14,0.26,-0.79,-1.59,59.51,118.72,-7.81,12.05,3.30,4.87,12.12
1.83,1,0,0,101151.50,20.48,89.33,0,-0.24,0.20,0.13,-2.13,-2.80,59.15,119.29,-7.86,12.01,3.30,4.87,12.13
1.85,1,0,0,101146.32,20.48,89.76,0,-0.07,-0.06,0.19,-0.12,-2.32,61.40,119.90,-7.94,11.85,3.30,4.87,12.15
1.87,1,0,0,101125.59,20.48,91.48,0,-0.01,0.17,-0.11,-0.06,-2.26,58.05,120.45,-8.08,11.88,3.30,4.87,12.15
1.89,1,0,0,101096.22,20.49,93.93,0,0.09,0.05,-0.05,0.37,-2.13,60.37,121.04,-8.32,11.86,3.30,4.87,12.15
1.91,1,0,0,101075.50,20.49,95.65,0,-0.17,0.03,-0.07,-0.67,0.00,59.39,121.62,-8.33,11.80,3.30,4.87,12.12
1.93,1,0,0,101039.23,20.49,98.67,0,0.06,0.10,-0.08,1.04,-1.77,57.87,122.17,-8.53,11.83,3.30,4.87,12.12
1.96,1,0,0,101027.16,20.48,99.68,0,-0.09,-0.05,-0.44,0.43,2.68,56.22,122.72,-8.56,11.84,3.30,4.87,11.94
1.98,1,0,0,100996.08,20.48,102.27,0,-0.10,-0.02,-0.22,-0.37,-0.85,58.84,123.30,-8.59,11.79,3.30,4.87,11.89
2.00,1,0,0,100992.61,20.49,102.56,0,0.08,0.09,-0.20,0.00,-0.37,57.80,123.86,-8.78,11.79,3.30,4.87,11.89
2.02,1,0,0,100967.59,20.47,105.94,0,0.13,-0.06,-0.15,5.00,-1.04,55.43,124.41,-9.02,11.74,3.30,4.86,12.17
2.04,1,0,0,100932.20,20.47,107.59,0,-0.08,0.09,-0.17,0.61,2.62,58.35,124.97,-9.07,11.76,3.30,4.86,12.13
2.06,1,0,0,100917.50,20.48,109.47,0,-0.00,0.22,-0.35,2.74,1.77,59.02,125.54,-9.19,11.81,3.30,4.87,12.20
2.08,1,0,0,100905.41,20.48,109.83,0,-0.08,0.05,-0.04,2.62,-1.59,58.35,126.11,-9.24,11.82,3.30,4.87,12.17
2.10,1,0,0,100888.98,20.49,111.41,0,0.01,-0.09,-0.18,-0.30,0.73,56.04,126.68,-9.41,11.63,3.30,4.87,12.17
2.12,2,0,0,100873.45,20.49,112.49,0,0.03,0.07,-0.56,0.79,1.89,59.21,127.25,-9.57,11.64,3.30,4.87,12.18
2.14,2,0,0,100848.43,20.48,114.80,0,-0.02,0.04,-0.60,0.67,0.12,59.02,127.82,-9.74,11.65,3.30,4.86,12.17
2.16,2,0,0,100834.59,20.49,115.73,0,0.09,0.09,-0.39,1.89,-0.85,59.09,128.39,-9.94,11.66,3.30,4.87,12.18
2.19,2,0,0,100811.28,20.49,117.68,0,0.01,0.14,-0.30,0.30,-0.49,58.96,128.96,-10.10,11.67,3.30,4.87,12.18
2.21,2,0,1,100773.31,20.48,120.85,0,0.03,0.01,-0.29,0.85,-1.52,58.54,129.53,-10.32,11.65,3.30,4.88,12.18
2.23,2,0,1,100762.06,20.49,121.79,0,0.05,0.03,-0.33,1.46,-2.13,58.48,130.09,-10.54,11.64,3.30,4.86,12.18
2.26,2,0,1,100713.75,20.47,125.82,0,-0.00,0.11,-0.43,-0.98,-0.18,57.80,130.65,-10.70,11.63,3.30,4.86,12.13
2.28,2,0,1,100718.91,20.48,125.39,0,0.02,-0.02,-0.45,-0.12,-0.12,56.71,131.20,-10.91,11.59,3.30,4.87,12.13
2.30,2,0,1,100695.60,20.48,127.34,0,0.02,-0.04,-0.44,-2.07,-0.85,56.04,131.75,-11.13,11.52,3.30,4.86,12.18
2.32,2,0,1,100674.88,20.48,129.07,0,-0.03,0.05,-0.37,0.18,-1.77,57.20,132.29,-11.30,11.52,3.29,4.86,12.17
2.34,2,0,1,100641.20,20.48,131.88,0,0.03,0.06,-0.36,-0.18,-1.65,56.40,132.84,-11.49,11.50,3.30,4.87,12.18
2.36,2,0,1,100629.96,20.49,132.82,0,0.07,0.06,-0.29,-1.10,-2.44,55.55,133.37,-11.71,11.46,3.30,4.87,12.17
2.38,2,0,1,100594.59,20.48,135.78,0,-0.00,-0.02,-0.32,-0.55,-3.23,55.79,133.91,-11.94,11.41,3.30,4.87,12.18
2.40,2,0,1,100591.11,20.49,136.07,0,0.09,0.10,-0.37,-0.73,-3.48,56.16,134.45,-12.16,11.38,3.30,4.87,12.18
2.42,2,0,0,100562.61,20.49,138.45,0,0.01,0.06,-0.35,0.67,-3.41,56.40,134.98,-12.37,11.36,3.30,4.87,12.18
2.45,2,0,0,100538.45,20.50,140.47,0,0.02,-0.01,-0.36,-0.43,-3.54,55.61,135.52,-12.61,11.30,3.30,4.87,12.18
2.47,2,0,0,100512.55,20.50,142.64,0,0.05,0.06,-0.35,-0.79,-3.54,55.24,136.05,-12.83,11.26,3.30,4.87,12.18
2.49,2,0,0,100497.00,20.50,143.94,0,0.02,0.04,-0.40,-0.73,-3.54,54.63,136.57,-13.04,11.22,3.30,4.87,12.18
2.51,2,0,0,100465.06,20.50,146.61,0,0.06,0.03,-0.31,-0.67,-4.15,54.51,137.10,-13.28,11.16,3.30,4.86,12.18
2.53,2,0,0,100459.88,20.50,147.04,0,0.03,0.05,-0.29,-0.37,-4.09,54.39,137.62,-13.50,11.12,3.30,4.86,12.17
2.55,2,0,0,100421.89,20.50,150.22,0,0.01,0.05,-0.33,-0.37,-3.48,53.84,138.13,-13.71,11.08,3.30,4.87,12.20
2.57,2,0,0,100408.94,20.50,151.31,0,0.06,0.05,-0.32,-1.04,-3.48,52.62,138.64,-13.93,11.02,3.30,4.87,12.18
2.59,2,0,0,100386.48,20.49,153.19,0,-0.02,0.04,-0.27,-0.85,-3.41,52.44,139.14,-14.11,11.00,3.30,4.87,12.17
2.61,2,0,0,100375.27,20.50,154.12,0,-0.04,0.00,-0.34,-1.04,-2.74,52.87,139.65,-14.30,10.95,3.30,4.86,12.15
2.63,2,0,0,100345.91,20.50,156.58,0,0.04,0.06,-0.32,-0.61,-3.17,52.20,140.15,-14.51,10.90,3.30,4.86,12.17
2.66,2,0,0,100333.83,20.50,157.60,0,0.00,0.05,-0.37,-1.10,-2.74,51.34,140.64,-14.71,10.85,3.30,4.87,12.17
2.68,2,0,0,100293.25,20.49,161.00,0,-0.00,0.04,-0.39,-1.34,-1.95,50.85,141.13,-14.90,10.80,3.30,4.87,12.15
2.70,2,0,0,100269.94,20.49,162.95,0,-0.01,0.07,-0.44,-1.89,-1.52,50.00,141.61,-15.07,10.75,3.30,4.87,11.94
2.72,2,0,0,100253.54,20.50,164.32,0,0.04,0.05,-0.31,-1.83,-2.38,50.12,142.09,-15.26,10.68,3.29,4.87,11.94
2.75,2,0,0,100231.95,20.50,166.13,0,0.02,0.00,-0.35,-2.26,-1.28,49.82,142.58,-15.47,10.59,3.30,4.87,11.78
2.77,2,0,0,100221.59,20.50,167.00,0,-0.02,0.03,-0.39,-2.13,-0.79,49.63,143.06,-15.64,10.52,3.30,4.87,11.84
2.79,2,0,0,100200.01,20.49,168.81,0,0.03,0.03,-0.38,-1.89,-1.22,48.84,143.54,-15.83,10.44,3.30,4.87,11.79
2.81,2,0,0,100189.66,20.49,170.77,0,0.02,0.06,-0.39,-1.16,-1.28,49.33,144.02,-16.01,10.38,3.30,4.86,11.89
2.83,2,0,0,100157.71,20.50,172.36,0,0.02,0.03,-0.39,-1.34,-0.85,49.27,144.50,-16.20,10.30,3.30,4.86,11.97
2.85,2,0,0,100143.03,20.49,173.59,0,0.04,0.10,-0.38,-2.56,-0.24,48.96,144.98,-16.36,10.22,3.30,4.87,12.02
2.87,2,0,0,100122.28,20.51,175.33,0,-0.03,0.06,-0.39,-1.59,0.30,49.02,145.45,-16.50,10.16,3.30,4.87,12.00
2.89,2,0,0,100118.00,20.50,175.69,0,0.04,0.01,-0.35,-0.49,-0.67,49.15,145.94,-16.70,10.07,3.30,4.87,12.00
2.91,2,0,0,100087.78,20.50,178.23,0,0.02,0.02,-0.42,-1.04,0.06,49.57,146.43,-16.88,9.98,3.30,4.87,12.08
2.93,2,0,0,100061.88,20.50,180.40,0,0.03,0.08,-0.39,-0.55,-0.24,49.88,146.92,-17.05,9.91,3.30,4.86,12.07
2.96,2,0,0,100046.34,20.50,181.71,0,0.00,0.03,-0.40,-0.37,0.24,50.55,147.42,-17.22,9.83,3.30,4.87,12.07
2.98,2,0,0,100037.67,20.51,182.43,0,0.08,0.06,-0.41,0.12,0.49,50.67,147.92,-17.39,9.74,3.30,4.87,12.05
3.00,2,0,0,100004.91,20.50,185.18,0,0.05,0.02,-0.39,0.55,-0.79,50.67,148.43,-17.59,9.64,3.30,4.86,11.89
3.02,2,0,0,99998.00,20.49,185.76,0,0.06,0.01,-0.33,-0.06,-1.16,50.06,148.93,-17.79,9.53,3.30,4.86,11.91
3.04,2,0,0,99967.78,20.50,188.30,0,0.07,0.11,-0.36,-0.12,0.00,51.22,149.44,-17.95,9.45,3.30,4.85,12.10
3.06,2,0,0,99958.29,20.50,189.10,0,0.03,-0.01,-0.40,-1.52,0.12,50.98,149.95,-18.14,9.31,3.30,4.86,12.07
3.08,2,0,0,99929.80,20.50,191.50,0,0.05,0.01,-0.43,-0.61,0.30,50.79,150.47,-18.33,9.19,3.30,4.87,12.12
3.10,2,0,0,99916.85,20.50,192.58,0,0.04,-0.02,-0.40,-1.52,-0.43,49.70,150.97,-18.52,9.04,3.30,4.86,12.15
3.12,2,0,0,99895.27,20.50,194.40,0,0.04,0.01,-0.37,-2.01,0.30,51.34,151.49,-18.70,8.90,3.30,4.87,11.99
3.14,2,0,0,99882.33,20.50,195.48,0,0.02,-0.02,-0.34,-2.50,-0.18,51.40,152.02,-18.89,8.74,3.30,4.86,12.18
3.17,2,0,0,99875.41,20.50,196.07,0,0.09,0.02,-0.37,-2.93,-0.12,50.67,152.54,-19.07,8.58,3.30,4.87,12.17
3.19,2,0,0,99843.48,20.50,198.75,0,0.04,-0.01,-0.40,-2.74,0.73,50.79,153.06,-19.25,8.41,3.30,4.87,12.17
3.21,2,0,1,99829.63,20.51,199.92,0,0.08,-0.06,-0.37,-3.60,0.49,51.10,153.60,-19.44,8.19,3.30,4.87,12.17
3.23,2,0,1,99810.67,20.50,201.51,0,0.02,0.00,-0.39,-4.63,0.00,52.68,154.14,-19.62,8.00,3.30,4.87,12.18
3.26,2,0,1,99796.86,20.50,203.11,0,0.02,0.02,-0.44,-4.51,0.61,50.43,154.65,-19.78,7.83,3.30,4.85,12.18
3.28,2,0,1,99774.42,20.50,204.56,0,0.07,-0.03,-0.34,-4.82,-0.49,50.55,155.18,-19.97,7.61,3.30,4.87,12.12
3.30,2,0,1,99762.34,20.49,206.67,0,0.07,-0.01,-0.33,-4.88,-0.61,51.10,155.71,-20.15,7.40,3.30,4.86,12.18
3.32,2,0,1,99739.03,20.49,207.54,0,0.04,0.05,-0.39,-6.46,0.18,52.74,156.25,-20.32,7.20,3.30,4.87,12.18
3.34,2,0,1,99720.03,20.50,209.14,0,0.05,-0.02,-0.36,-6.04,0.30,50.37,156.78,-20.49,6.97,3.30,4.86,12.15
3.36,2,0,1,99694.97,20.51,211.25,0,0.07,-0.02,-0.32,-5.85,0.12,51.22,157.32,-20.66,6.73,3.30,4.87,12.18
3.38,2,0,1,99694.14,20.50,211.75,0,0.04,0.05,-0.41,-6.28,0.00,52.01,157.85,-20.82,6.53,3.30,4.87,12.18
3.40,2,0,1,99669.97,20.50,213.35,0,-0.01,0.03,-0.46,-6.52,1.22,51.77,158.38,-20.97,6.33,3.30,4.87,12.23
3.42,2,0,0,99652.70,20.50,214.81,0,0.06,0.03,-0.35,-7.07,0.37,50.55,158.90,-21.13,6.11,3.30,4.87,12.18
3.45,2,0,0,99643.17,20.51,215.61,0,0.02,0.01,-0.42,-6.28,0.49,51.71,159.44,-21.29,5.88,3.30,4.87,12.15
3.47,2,0,0,99615.59,20.50,217.93,0,0.04,0.07,-0.36,-6.59,0.49,51.52,159.97,-21.43,5.69,3.30,4.87,12.20
3.49,2,0,0,99597.41,20.51,219.47,0,0.07,0.00,-0.35,-6.89,0.18,50.00,160.49,-21.59,5.44,3.30,4.87,12.17
3.51,2,0,0,99587.96,20.50,220.26,0,0.08,0.05,-0.28,-6.52,1.22,50.37,161.02,-21.73,5.23,3.30,4.85,12.10
3.53,2,0,0,99572.42,20.50,221.57,0,0.08,0.09,-0.39,-5.79,0.98,51.65,161.55,-21.86,5.02,3.30,4.87,11.99
3.55,2,0,0,99559.48,20.50,222.66,0,0.06,0.08,-0.38,-6.34,0.49,49.76,162.06,-21.99,4.82,3.30,4.86,12.13
3.57,2,0,0,99533.58,20.50,224.85,0,-0.01,-0.03,-0.36,-7.26,0.67,49.51,162.59,-22.14,4.55,3.30,4.87,12.10
3.59,2,0,0,99517.19,20.50,226.23,0,0.06,0.05,-0.32,-6.34,0.98,50.55,163.12,-22.28,4.33,3.30,4.86,12.18
3.61,2,0,0,99494.73,20.50,228.12,0,0.04,0.02,-0.39,-5.67,1.40,49.51,163.64,-22.41,4.10,3.30,4.86,12.17
3.63,2,0,0,99497.33,20.50,227.90,0,0.09,0.05,-0.32,-5.24,-0.30,49.63,164.16,-22.55,3.89,3.30,4.87,12.18
3.65,2,0,0,99467.98,20.50,230.38,0,0.06,0.02,-0.33,-5.91,-0.06,49.21,164.68,-22.70,3.65,3.30,4.87,12.17
3.68,2,0,0,99450.72,20.50,231.83,0,0.01,-0.00,-0.35,-5.43,0.06,48.96,165.21,-22.84,3.41,3.30,4.87,12.18
3.70,2,0,0,99432.59,20.50,233.58,0,0.12,0.11,-0.33,-4.57,-0.49,48.66,165.71,-22.97,3.21,3.30,4.87,12.20
3.72,2,0,0,99415.34,20.49,234.82,0,0.05,0.04,-0.31,-4.57,-0.43,47.56,166.21,-23.11,3.01,3.30,4.87,12.12
3.74,2,0,0,99409.28,20.50,236.21,0,0.04,0.03,-0.33,-4.82,0.18,47.93,166.72,-23.24,2.79,3.30,4.86,12.12
3.77,2,0,0,99381.68,20.49,237.66,0,0.06,0.10,-0.28,-3.96,0.24,48.29,167.22,-23.36,2.61,3.30,4.87,12.20
3.79,2,0,0,99365.27,20.50,239.27,0,0.05,0.05,-0.33,-4.27,0.06,47.99,167.72,-23.48,2.41,3.30,4.86,11.55
3.81,2,0,0,99351.46,20.50,240.21,0,0.10,0.07,-0.30,-3.60,-0.43,47.68,168.22,-23.61,2.21,3.30,4.87,11.84
3.83,2,0,0,99336.78,20.50,241.67,0,0.07,0.04,-0.32,-4.57,0.43,47.07,168.73,-23.73,1.99,3.30,4.87,12.15
3.85,2,0,0,99317.75,20.51,243.06,0,0.02,0.10,-0.32,-4.57,0.24,47.68,169.22,-23.84,1.81,3.30,4.87,12.10
3.87,2,0,0,99304.80,20.51,245.03,0,0.02,0.06,-0.36,-4.57,0.85,47.26,169.71,-23.95,1.60,3.30,4.87,12.10
3.89,2,0,0,99293.59,20.51,245.10,0,0.00,-0.02,-0.34,-3.60,0.12,46.77,170.23,-24.07,1.35,3.30,4.87,12.00
3.91,2,0,0,99270.28,20.51,247.07,0,0.05,0.08,-0.29,-4.27,0.00,47.07,170.72,-24.19,1.16,3.30,4.86,12.07
